concept:city:saigon	concept:citycapitalofcountry	concept:country:west_indies
concept:county:detroit	concept:proxyfor	concept:creditunion:michigan
concept:personmexico:ryan_whitney	concept:worksfor	concept:governmentorganization:departments
concept:country:mexico	concept:atdate	concept:year:n1992
concept:stateorprovince:massachusetts	concept:istallerthan	concept:publication:people_
concept:country:republic	concept:countryalsoknownas	concept:country:romania
concept:stateorprovince:georgia	concept:proxyfor	concept:lake:new
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:city:rio
concept:governmentorganization:senators	concept:organizationhiredperson	concept:city:hermosillo
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:country:arabia_saudita
concept:city:florida	concept:mutualproxyfor	concept:celebrity:venice
concept:governmentorganization:clients	concept:atdate	concept:skiarea:tennessee
concept:city:hawaii	concept:atdate	concept:politicaloffice:prez
concept:disease:crohn	concept:stateorprovinceisborderedbystateorprovince	concept:stateorprovince:oregon
concept:city:army	concept:atdate	concept:agriculturalproduct:flax
concept:county:philadelphia	concept:proxyfor	concept:wine:trocadero
concept:lake:new	concept:locationlocatedwithinlocation	concept:county:paris
concept:county:records	concept:atdate	concept:dateliteral:n2008
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:country:russian_federation
concept:politicsblog:tribune	concept:agentactsinlocation	concept:geopoliticallocation:the_new_york
concept:country:career	concept:atdate	concept:year:n1997
concept:airport:europe	concept:atdate	concept:dateliteral:n2002
concept:country:brazil	concept:atdate	concept:date:n2001
concept:country:republic	concept:countryalsoknownas	concept:country:mozambique
concept:lake:new	concept:locationlocatedwithinlocation	concept:farm:foundation
concept:city:bangkok	concept:atdate	concept:dateliteral:n2008
concept:city:team	concept:agentcreated	concept:website:telephone
concept:retailstore:consumers	concept:atdate	concept:dateliteral:n2005
concept:sportsgame:more_weeks	concept:atlocation	concept:lake:new
concept:country:oman	concept:atdate	concept:dateliteral:n2008
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:transportation:search
concept:personmexico:ryan_whitney	concept:worksfor	concept:governmentorganization:treasury
concept:country:korea	concept:atdate	concept:dateliteral:n2005
concept:room:back	concept:subpartof	concept:geopoliticallocation:arms
concept:city:hampshire	concept:citylocatedingeopoliticallocation	concept:disease:hemophilia
concept:website:april_2006	concept:istallerthan	concept:publication:people_
concept:city:new_orleans	concept:cityliesonriver	concept:attraction:grand
concept:country:__america	concept:locationlocatedwithinlocation	concept:geopoliticallocation:southern
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:county:sacramento
concept:beverage:new	concept:atlocation	concept:landscapefeatures:point
concept:country:montenegro	concept:countrylocatedingeopoliticallocation	concept:river:olentangy
concept:island:mother	concept:atdate	concept:food:pate
concept:country:argentina	concept:countryalsoknownas	concept:country:republic
concept:website:request	concept:atdate	concept:food:pate
concept:physicalaction:materials	concept:atdate	concept:dateliteral:n2006
concept:politicaloffice:prez	concept:proxyfor	concept:lake:new
concept:book:new	concept:mutualproxyfor	concept:weapon:course
concept:country:republic_of_austria	concept:atdate	concept:dateliteral:n2006
concept:disease:crohn	concept:mutualproxyfor	concept:city:berkeley
concept:stateorprovince:act	concept:atdate	concept:date:n2001
concept:city:bahamas	concept:atdate	concept:dateliteral:n2006
concept:city:state	concept:cityliesonriver	concept:attraction:grand
concept:city:arkansas	concept:cityliesonriver	concept:attraction:grand
concept:country:republic	concept:countryalsoknownas	concept:country:bangladesh
concept:book:friends	concept:atdate	concept:food:pate
concept:country:republic_of_india	concept:countrylocatedingeopoliticallocation	concept:geopoliticallocation:south_asia
concept:sportsgame:championship	concept:atdate	concept:agriculturalproduct:flax
concept:city:amsterdam	concept:citylocatedincountry	concept:country:netherlands
concept:country:russia	concept:countrylocatedingeopoliticallocation	concept:geopoliticallocation:producers
concept:river:olentangy	concept:stateorprovinceisborderedbystateorprovince	concept:stateorprovince:southeast_asia
concept:city:montreal	concept:cityliesonriver	concept:attraction:grand
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:city:manila
concept:book:new	concept:atlocation	concept:city:challenge
concept:city:fort_collins_loveland	concept:agentcompeteswithagent	concept:stateorprovince:connecticut
concept:stateorprovince:men	concept:agentparticipatedinevent	concept:sportsgame:charges
concept:city:fort_collins_loveland	concept:agentcompeteswithagent	concept:stateorprovince:oregon
concept:politicalparty:republic	concept:synonymfor	concept:city:sweden
concept:book:new	concept:atlocation	concept:city:empire
concept:visualizablething:weekends	concept:atlocation	concept:lake:new
concept:disease:crohn	concept:mutualproxyfor	concept:city:belmont
concept:city:washington_d_c	concept:atdate	concept:date:n1976
concept:country:republic	concept:countryalsoknownas	concept:country:sudan
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:governmentorganization:government
concept:male:history	concept:atdate	concept:dateliteral:n2005
concept:stateorprovince:mississippi	concept:statelocatedincountry	concept:country:usa
concept:city:deerfield_beach	concept:subpartof	concept:city:florida
concept:city:nebraska	concept:locationlocatedwithinlocation	concept:country:u_s_
concept:country:madagascar	concept:countryalsoknownas	concept:country:republic
concept:stateorprovince:indiana	concept:mutualproxyfor	concept:stadiumoreventvenue:indianapolis_downtown
concept:governmentorganization:department	concept:organizationacronymhasname	concept:governmentorganization:california_department
concept:city:flagstaff	concept:cityliesonriver	concept:attraction:grand
concept:country:singapore	concept:countrylocatedingeopoliticallocation	concept:continent:asia
concept:stateorprovince:lomza	concept:statelocatedingeopoliticallocation	concept:country:poland
concept:city:upland	concept:mutualproxyfor	concept:disease:crohn
concept:disease:crohn	concept:mutualproxyfor	concept:city:arcata
concept:governmentorganization:senators	concept:organizationhiredperson	concept:personmexico:ryan_whitney
concept:fruit:soyabean	concept:atdate	concept:dateliteral:n2006
concept:city:geneva	concept:atdate	concept:date:n1993
concept:landscapefeatures:states	concept:locationlocatedwithinlocation	concept:city:ontario
concept:website:clients	concept:atdate	concept:dateliteral:n2006
concept:city:el_monte	concept:locationlocatedwithinlocation	concept:disease:crohn
concept:country:republic	concept:countryalsoknownas	concept:country:france_france
concept:city:lodi	concept:atlocation	concept:disease:crohn
concept:city:hawaii	concept:atdate	concept:dateliteral:n2002
concept:city:portland	concept:proxyfor	concept:stateorprovince:indiana
concept:lake:new	concept:mutualproxyfor	concept:month:november
concept:politicsblog:white_house	concept:organizationhiredperson	concept:person:republican
concept:website:issue	concept:atdate	concept:year:n1989
concept:room:south	concept:mutualproxyfor	concept:city:area
concept:stateorprovince:wisconsin	concept:statelocatedingeopoliticallocation	concept:disease:hemophilia
concept:island:syria	concept:atdate	concept:food:pate
concept:city:home	concept:agentcontrols	concept:nonneginteger:one
concept:lake:new	concept:locationlocatedwithinlocation	concept:street:charter_school
concept:stateorprovince:new_england_state	concept:proxyfor	concept:book:new
concept:city:name	concept:atdate	concept:date:n2001
concept:lake:new	concept:locationlocatedwithinlocation	concept:visualizablething:use
concept:stateorprovince:michigan	concept:statelocatedingeopoliticallocation	concept:country:u_s_
concept:website:phone	concept:atdate	concept:food:pate
concept:country:vietnam	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:attraction:art	concept:locationlocatedwithinlocation	concept:county:york_city
concept:country:mozambique	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:country:baltic_states
concept:country:sweden	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:sociopolitical:justice	concept:subpartof	concept:room:house
concept:lake:new	concept:locationlocatedwithinlocation	concept:stateorprovince:products
concept:book:north	concept:atlocation	concept:airport:europe
concept:country:republic	concept:countryalsoknownas	concept:country:u_s_
concept:country:britain	concept:atdate	concept:dateliteral:n2002
concept:radiostation:beaumont	concept:subpartof	concept:city:texas
concept:city:members	concept:atdate	concept:year:n1997
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:country:western_africa
concept:county:manhattan	concept:locationlocatedwithinlocation	concept:city:kansas
concept:lake:new	concept:atlocation	concept:geopoliticallocation:south_wales
concept:city:shanghai	concept:atdate	concept:dateliteral:n2002
concept:country:sudan	concept:countrylocatedingeopoliticallocation	concept:continent:africa
concept:city:home	concept:atdate	concept:month:november
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:country:republic_of_india
concept:lake:new	concept:locationlocatedwithinlocation	concept:city:coffs_harbour
concept:country:norway	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:stateorprovince:georgia	concept:mutualproxyfor	concept:city:albany
concept:country:usa	concept:countryalsoknownas	concept:country:__america
concept:country:former_soviet_union	concept:atdate	concept:year:n1989
concept:country:east_timor	concept:countrylocatedingeopoliticallocation	concept:continent:asia
concept:book:new	concept:atlocation	concept:city:communities
concept:book:friends	concept:mutualproxyfor	concept:book:new
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:county:san_francisco
concept:lake:new	concept:mutualproxyfor	concept:dateliteral:n1980
concept:city:salem	concept:mutualproxyfor	concept:stateorprovince:virginia
concept:county:paris	concept:atlocation	concept:skiarea:kentucky
concept:stateorprovince:vermont	concept:stateorprovinceisborderedbystateorprovince	concept:stateorprovince:new_hampshire
concept:year:n1992	concept:proxyfor	concept:city:texas
concept:city:home	concept:atdate	concept:date:may_13
concept:website:move	concept:atdate	concept:dateliteral:n2002
concept:city:valencia	concept:mutualproxyfor	concept:disease:crohn
concept:city:singapore	concept:atdate	concept:dateliteral:n2005
concept:website:clients	concept:atdate	concept:dateliteral:n2008
concept:book:new	concept:mutualproxyfor	concept:beverage:reality
concept:city:greenville	concept:proxyfor	concept:stateorprovince:south_carolina
concept:book:questions	concept:mutualproxyfor	concept:book:new
concept:date:feb_	concept:proxyfor	concept:lake:new
concept:city:tampa_bay	concept:agentcollaborateswithagent	concept:personus:b_j__upton
concept:disease:infectious_diseases	concept:organizationhiredperson	concept:personmexico:ryan_whitney
concept:transportation:voters	concept:atdate	concept:food:pate
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:country:samoa
concept:country:us	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:geometricshape:colleges	concept:mutualproxyfor	concept:book:new
concept:coach:n3	concept:mutualproxyfor	concept:city:home
concept:country:us	concept:countrycurrency	concept:currency:dollars
concept:geopoliticallocation:producers	concept:proxyfor	concept:book:new
concept:country:malaysia	concept:countryalsoknownas	concept:country:u_s_
concept:city:simi_valley	concept:locationlocatedwithinlocation	concept:disease:crohn
concept:personmexico:ryan_whitney	concept:worksfor	concept:organization:republican
concept:disease:crohn	concept:atdate	concept:dateliteral:n2008
concept:disease:crohn	concept:istallerthan	concept:publication:people_
concept:beverage:new	concept:atlocation	concept:sportsteam:wild_card_teams
concept:coach:philip_fulmer	concept:subpartof	concept:musicalbum:tennessee
concept:personmexico:ryan_whitney	concept:worksfor	concept:city:experts
concept:coach:philip_fulmer	concept:worksfor	concept:stateorprovince:volunteer
concept:visualizablething:malt	concept:atdate	concept:year:n1995
concept:city:rome	concept:locationlocatedwithinlocation	concept:country:italy
concept:stateorprovince:new_york	concept:statehascapital	concept:city:albany
concept:coach:new	concept:subpartof	concept:island:polynesia
concept:geopoliticallocation:world	concept:agentactsinlocation	concept:city:washington_d_c
concept:stateorprovince:maryland	concept:stateorprovinceisborderedbystateorprovince	concept:stateorprovince:pennsylvania
concept:visualizablething:use	concept:atdate	concept:year:n1997
concept:disease:crohn	concept:mutualproxyfor	concept:city:woodland_hills
concept:disease:crohn	concept:mutualproxyfor	concept:city:reseda
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:country:__america
concept:city:brisbane	concept:atdate	concept:dateliteral:n2002
concept:beverage:new	concept:atlocation	concept:transportation:tourism
concept:lake:new	concept:atlocation	concept:stateorprovince:arizona
concept:sportsgame:championship	concept:atdate	concept:dayofweek:tuesday
concept:city:midland	concept:atlocation	concept:stateorprovince:texas
concept:stateorprovince:virginia	concept:statelocatedincountry	concept:country:usa
concept:country:uzbekistan	concept:countrylocatedingeopoliticallocation	concept:geopoliticallocation:central_asia
concept:city:sydney	concept:istallerthan	concept:publication:people_
concept:attraction:major_tourist_attraction	concept:proxyfor	concept:book:new
concept:transportation:voters	concept:atdate	concept:skiarea:tennessee
concept:stateorprovince:west_virginia	concept:statelocatedincountry	concept:country:usa
concept:city:vancouver	concept:cityliesonriver	concept:retailstore:supermarket
concept:country:lebanon	concept:countrylocatedingeopoliticallocation	concept:country:countries
concept:website:kdvr	concept:subpartof	concept:mountain:fox
concept:city:vancouver	concept:atdate	concept:dateliteral:n2006
concept:city:beijing	concept:organizationhiredperson	concept:personmexico:ryan_whitney
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:geopoliticallocation:district
concept:county:austin	concept:atlocation	concept:stateorprovince:minnesota
concept:city:shanghai	concept:cityliesonriver	concept:river:yangtse
concept:visualizablescene:ny	concept:locationlocatedwithinlocation	concept:bridge:world
concept:lake:new	concept:locationlocatedwithinlocation	concept:newspaper:advocate
concept:stateorprovince:south_carolina	concept:statelocatedincountry	concept:country:u_s_
concept:country:republic	concept:countryalsoknownas	concept:country:bolivia
concept:disease:crohn	concept:mutualproxyfor	concept:city:beverly_hills
concept:governmentorganization:senators	concept:agentparticipatedinevent	concept:convention:games
concept:park:borough	concept:parkincity	concept:city:london_city
concept:lake:new	concept:locationlocatedwithinlocation	concept:visualizablescene:ny
concept:governmentorganization:intelligence_community	concept:organizationhiredperson	concept:personmexico:ryan_whitney
concept:newspaper:business_journal	concept:headquarteredin	concept:city:washington_d_c
concept:filmfestival:eight	concept:proxyfor	concept:book:new
concept:website:issue	concept:atdate	concept:year:n1986
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:geopoliticallocation:east_asia
concept:city:milan	concept:cityliesonriver	concept:river:po
concept:lake:new	concept:mutualproxyfor	concept:country:usa
concept:country:republic	concept:countryalsoknownas	concept:country:czechoslovakia
concept:sportsteam:brazil	concept:teamalsoknownas	concept:sportsteam:germany
concept:city:area	concept:atdate	concept:agriculturalproduct:flax
concept:city:florida	concept:mutualproxyfor	concept:stateorprovince:pensacola
concept:website:market	concept:atdate	concept:year:n1995
concept:country:australia	concept:atdate	concept:year:n1989
concept:city:bloomington	concept:atlocation	concept:stateorprovince:indiana
concept:island:society	concept:atdate	concept:dateliteral:n2005
concept:lake:new	concept:mutualproxyfor	concept:city:london_city
concept:blog:goal	concept:atdate	concept:dateliteral:n2006
concept:beverage:new	concept:atlocation	concept:website:leader
concept:governmentorganization:government	concept:atdate	concept:year:n1975
concept:book:new	concept:mutualproxyfor	concept:sportsleague:teams
concept:county:atlanta	concept:subpartof	concept:stateorprovince:georgia
concept:governmentorganization:commission	concept:atdate	concept:date:n1993
concept:tradeunion:congress	concept:atdate	concept:year:n1991
concept:geopoliticalorganization:northern	concept:atlocation	concept:continent:africa
concept:lake:new	concept:locationlocatedwithinlocation	concept:city:ontario
concept:radiostation:nevada	concept:mutualproxyfor	concept:beverage:new
concept:date:n2001	concept:proxyfor	concept:city:florida
concept:country:finland	concept:atdate	concept:date:n2001
concept:country:__america	concept:countryalsoknownas	concept:country:u_s_
concept:country:oman	concept:countryalsoknownas	concept:country:republic
concept:city:newport_news_hampton_wmsburg	concept:proxyfor	concept:stateorprovince:virginia
concept:city:service	concept:atdate	concept:dateliteral:n1918
concept:vehicle:west_coast	concept:proxyfor	concept:book:new
concept:governmentorganization:government	concept:agentcontrols	concept:personus:important_information
concept:geopoliticalorganization:northern_california	concept:atdate	concept:dateliteral:n2006
concept:governmentorganization:services	concept:organizationacronymhasname	concept:governmentorganization:south_australian_department
concept:governmentorganization:commission	concept:atdate	concept:skiarea:tennessee
concept:county:milford	concept:mutualproxyfor	concept:stateorprovince:connecticut
concept:country:netherlands	concept:atdate	concept:year:n1997
concept:disease:hemophilia	concept:atdate	concept:dateliteral:n2005
concept:city:london_city	concept:proxyfor	concept:city:united_kingdom
concept:country:__america	concept:countrycurrency	concept:currency:dollars
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:country:greece
concept:comedian:day	concept:atdate	concept:year:n1975
concept:stateorprovince:maine	concept:istallerthan	concept:publication:people_
concept:actor:van_andel_arena	concept:countryalsoknownas	concept:country:republic
concept:country:spain	concept:countrylocatedingeopoliticallocation	concept:river:olentangy
concept:visualizablescene:ny	concept:atdate	concept:dateliteral:n2008
concept:stateorprovince:massachusetts	concept:mutualproxyfor	concept:city:worcester
concept:airport:europe	concept:atdate	concept:year:n1989
concept:visualizablescene:washington	concept:stateorprovinceisborderedbystateorprovince	concept:stateorprovince:idaho
concept:city:woodland	concept:atlocation	concept:disease:crohn
concept:city:waterbury	concept:atlocation	concept:stateorprovince:connecticut
concept:country:republic	concept:countryalsoknownas	concept:country:armenia
concept:geopoliticallocation:agencies	concept:subpartoforganization	concept:landscapefeatures:states
concept:fruit:bavarian	concept:mutualproxyfor	concept:stateorprovince:munich
concept:country:indonesia	concept:atdate	concept:date:n2001
concept:lake:new	concept:locationlocatedwithinlocation	concept:country:countries
concept:country:republic	concept:countryalsoknownas	concept:country:cambodia
concept:country:us	concept:countryalsoknownas	concept:country:republic
concept:coach:philip_rivers	concept:worksfor	concept:stateorprovince:tennessee
concept:river:olentangy	concept:statelocatedingeopoliticallocation	concept:geopoliticallocation:online
concept:city:fairchild_air_force_base	concept:atdate	concept:skiarea:tennessee
concept:country:thailand	concept:countrylocatedingeopoliticallocation	concept:river:olentangy
